<hes>	a:6
ei1	ej1
ei1bi1koi3	ej1 b i:1 k O:j3
bi1	b i:1
bi2bi1	b i:2 b i:1
bi3bi1yau4	b i:3 b i:1 j 6w4
bi1a1lou6ti1	b i:1 a:1 l ow6 t i:1
bi1sap6yi6	b i:1 s 6 p6 j i:6
si1	s i:1
si1di1	s i:1 d i:1
di1	d i:1
di1ei1chu3si1	d i:1 ej1 ts u:3 s i:1
yi1	j i:1
e1fu4	E:1 f u:4
ji1	dz i:1
ji1pi1e1si4	dz i:1 p i:1 E:1 s i:4
ei1chu3	ej1 ts u:3
aai1	a:j1
e1lou4ji1	E:1 l ow4 dz i:1
mei1	m ej1
mai5syut3	m 6j5 s y: t3
en1	E: n1
ou1	ow1
kiu1	k iw1
kiu1kiu1	k iw1 k iw1
kiu1kiu1gau2sin1	k iw1 k iw1 g 6w2 s i: n1
kiu1kiu1jau2sin1	k iw1 k iw1 dz 6w2 s i: n1
a1lou4	a:1 l ow4
e1si4	E:1 s i:4
saam1mou5	s a: m1 m ow5
ti1	t i:1
wi1	w i:1
waai1faai1	w a:j1 f a:j1
kaat1	k a: t1
aai1fung1	a:j1 f u: N1
ou1kei1	ow1 k ej1
ga1	g a:1
ga4	g a:4
ga3	g a:3
ga3ma3	g a:3 m a:3
gaap3	g a: p3
ngan3ngan3geuk3	N 6 n3 N 6 n3 g 9: k3
yat1	j 6 t1
yat1maan6	j 6 t1 m a: n6
yat1ha5	j 6 t1 h a:5
yat1ha5ji2	j 6 t1 h a:5 dz i:2
yat1sai3	j 6 t1 s 6j3
yat1leung5wai4	j 6 t1 l 9: N5 w 6j4
yat1go3	j 6 t1 g O:3
yat1go3hyun1	j 6 t1 g O:3 h y: n1
yat1chyun3go3	j 6 t1 ts y: n3 g O:3
yat1maai5	j 6 t1 m a:j5
yat1yu1	j 6 t1 j y:1
yat1m5gei1	j 6 t1 m5 g ej1
yat1yan4	j 6 t1 j 6 n4
yat1yik1	j 6 t1 j i: k1
yat1luk6m5	j 6 t1 l u: k6 m5
yat1gung6	j 6 t1 g u: N6
yat1pek3	j 6 t1 p E: k3
yat1chin1	j 6 t1 ts i: n1
yat1bun3	j 6 t1 b u: n3
yat1hou6	j 6 t1 h ow6
yat1tou3fu2seui2	j 6 t1 t ow3 f u:2 s 9y2
yat1mei2	j 6 t1 m ej2
yat1di1	j 6 t1 d i:1
yat1di1di1	j 6 t1 d i:1 d i:1
yat1lai4	j 6 t1 l 6j4
yat1gau6seui2	j 6 t1 g 6w6 s 9y2
yat1cheung4	j 6 t1 ts 9: N4
yat1daai6bun3	j 6 t1 d a:j6 b u: n3
yat1daai6ba2	j 6 t1 d a:j6 b a:2
yat1je2	j 6 t1 dz E:2
yat1ding6	j 6 t1 d i: N6
yat1ga1	j 6 t1 g a:1
yat1ga1daai6sai3	j 6 t1 g a:1 d a:j6 s 6j3
yat1lin4bun3joi2	j 6 t1 l i: n4 b u: n3 dz O:j2
yat1dak1lou6	j 6 t1 d 6 k1 l ow6
yat1yu1	j 6 t1 j y:1
yat1yat6	j 6 t1 j 6 t6
yat1yat6yau4	j 6 t1 j 6 t6 j 6w4
yat1jou2	j 6 t1 dz ow2
yat1si4	j 6 t1 s i:4
yat1yut6	j 6 t1 j y: t6
yat1yut6fan6	j 6 t1 j y: t6 f 6 n6
yat1jiu1jou2	j 6 t1 dz iw1 dz ow2
yat1yeung6	j 6 t1 j 9: N6
yat1lau5	j 6 t1 l 6w5
yat1mou2yat1yeung6	j 6 t1 m ow2 j 6 t1 j 9: N6
yat1chi3	j 6 t1 ts i:3
yat1bou6	j 6 t1 b ow6
yat1bou6bou6	j 6 t1 b ow6 b ow6
yat1sang1	j 6 t1 s 6 N1
yat1baak3	j 6 t1 b a: k3
yat1jik6	j 6 t1 dz i: k6
yat1aan5	j 6 t1 a: n5
yat1jung2	j 6 t1 dz u: N2
yat1chyun1	j 6 t1 ts y: n1
yat1hai6	j 6 t1 h 6j6
yat1geuk3	j 6 t1 g 9: k3
yat1bun1	j 6 t1 b u: n1
yat1bun1bun1	j 6 t1 b u: n1 b u: n1
yat1lok6	j 6 t1 l O: k6
yat1hei2	j 6 t1 h ej2
yat1lou6	j 6 t1 l ow6
yat1san1seung6	j 6 t1 s 6 n1 s 9: N6
yat1leun4	j 6 t1 l 9: n4
yat1bin1	j 6 t1 b i: n1
yat1yu6dou2	j 6 t1 j y:6 d ow2
yat1pin3	j 6 t1 p i: n3
yat1pin3sei2jik6	j 6 t1 p i: n3 s ej2 dz i: k6
yat1bou6fan6	j 6 t1 b ow6 f 6 n6
yat1gaan1	j 6 t1 g a: n1
yat1jan6	j 6 t1 dz 6 n6
yat1jan6sin1	j 6 t1 dz 6 n6 s i: n1
yat1jan6gaan1	j 6 t1 dz 6 n6 g a: n1
yat1jan6jan6	j 6 t1 dz 6 n6 dz 6 n6
yat1chai4	j 6 t1 ts 6j4
ding1ding1che1	d i: N1 d i: N1 ts E:1
chat1	ts 6 t1
chat1sap6	ts 6 t1 s 6 p6
chat1a6gei2	ts 6 t1 a:6 g ej2
chat1hou6	ts 6 t1 h ow6
chat1sing1aam4	ts 6 t1 s i: N1 a: m4
chat1lau5	ts 6 t1 l 6w5
chat1baak3	ts 6 t1 b a: k3
maan6	m a: n6
maan6sing3jit3	m a: n6 s i: N3 dz i: t3
maan6ok3yam4wai4sau2	m a: n6 O: k3 j 6 m4 w 6j4 s 6w2
maan6fo1	m a: n6 f O:1
maan6luk6wu4	m a: n6 l u: k6 w u:4
saam1	s a: m1
saam1ei1	s a: m1 ej1
saam1di1	s a: m1 d i:1
saam1ji1	s a: m1 dz i:1
saam1jung1	s a: m1 dz u: N1
saam1sap6	s a: m1 s 6 p6
saam1a6yat1hou6	s a: m1 a:6 j 6 t1 h ow6
saam1a6maan6	s a: m1 a:6 m a: n6
saam1a6m5	s a: m1 a:6 m5
saam1sap6fan6	s a: m1 s 6 p6 f 6 n6
saam1a6baat3	s a: m1 a:6 b a: t3
saam1chin1	s a: m1 ts i: n1
