<hes>	a:6
ei1	ej1
ei1bi1koi3	ej1 b i:1 k O:j3
bi1	b i:1
bi2bi1	b i:2 b i:1
bi3bi1yau4	b i:3 b i:1 j 6w4
bi1a1lou6ti1	b i:1 a:1 l ow6 t i:1
bi1sap6yi6	b i:1 s 66 p j i:6
si1	s i:1
si1di1	s i:1 d i:1
di1	d i:1
di1ei1chu3si1	d i:1 ej1 ts u:3 s i:1
yi1	j i:1
e1fu4	E:1 f u:4
ji1	dz i:1
ji1pi1e1si4	dz i:1 p i:1 E:1 s i:4
ei1chu3	ej1 ts u:3
aai1	a:j1
e1lou4ji1	E:1 l ow4 dz i:1
mei1	m ej1
mai5syut3	m 6j5 s y:3 t
en1	E: n1
ou1	ow1
kiu1	k iw1
kiu1kiu1	k iw1 k iw1
kiu1kiu1gau2sin1	k iw1 k iw1 g 6w2 s i:1 n
kiu1kiu1jau2sin1	k iw1 k iw1 dz 6w2 s i:1 n
a1lou4	a:1 l ow4
e1si4	E:1 s i:4
saam1mou5	s a:1 m m ow5
ti1	t i:1
wi1	w i:1
waai1faai1	w a:j1 f a:j1
kaat1	k a:1 t
aai1fung1	a:j1 f u:1 N
ou1kei1	ow1 k ej1
ga1	g a:1
ga4	g a:4
ga3	g a:3
ga3ma3	g a:3 m a:3
gaap3	g a:3 p
ngan3ngan3geuk3	N 63 n N 63 n g 9:3 k
yat1	j 61 t
yat1maan6	j 61 t m a:6 n
yat1ha5	j 61 t h a:5
yat1ha5ji2	j 61 t h a:5 dz i:2
yat1sai3	j 61 t s 6j3
yat1leung5wai4	j 61 t l 9:5 N w 6j4
yat1go3	j 61 t g O:3
yat1go3hyun1	j 61 t g O:3 h y:1 n
yat1chyun3go3	j 61 t ts y:3 n g O:3
yat1maai5	j 61 t m a:j5
yat1yu1	j 61 t j y:1
yat1m5gei1	j 61 t m5 g ej1
yat1yan4	j 61 t j 64 n
yat1yik1	j 61 t j i:1 k
yat1luk6m5	j 61 t l u:6 k m5
yat1gung6	j 61 t g u:6 N
yat1pek3	j 61 t p E:3 k
yat1chin1	j 61 t ts i:1 n
yat1bun3	j 61 t b u:3 n
yat1hou6	j 61 t h ow6
yat1tou3fu2seui2	j 61 t t ow3 f u:2 s 9y2
yat1mei2	j 61 t m ej2
yat1di1	j 61 t d i:1
yat1di1di1	j 61 t d i:1 d i:1
yat1lai4	j 61 t l 6j4
yat1gau6seui2	j 61 t g 6w6 s 9y2
yat1cheung4	j 61 t ts 9:4 N
yat1daai6bun3	j 61 t d a:j6 b u:3 n
yat1daai6ba2	j 61 t d a:j6 b a:2
yat1je2	j 61 t dz E:2
yat1ding6	j 61 t d i:6 N
yat1ga1	j 61 t g a:1
yat1ga1daai6sai3	j 61 t g a:1 d a:j6 s 6j3
yat1lin4bun3joi2	j 61 t l i:4 n b u:3 n dz O:j2
yat1dak1lou6	j 61 t d 61 k l ow6
yat1yu1	j 61 t j y:1
yat1yat6	j 61 t j 66 t
yat1yat6yau4	j 61 t j 66 t j 6w4
yat1jou2	j 61 t dz ow2
yat1si4	j 61 t s i:4
yat1yut6	j 61 t j y:6 t
yat1yut6fan6	j 61 t j y:6 t f 66 n
yat1jiu1jou2	j 61 t dz iw1 dz ow2
yat1yeung6	j 61 t j 9:6 N
yat1lau5	j 61 t l 6w5
yat1mou2yat1yeung6	j 61 t m ow2 j 61 t j 9:6 N
yat1chi3	j 61 t ts i:3
yat1bou6	j 61 t b ow6
yat1bou6bou6	j 61 t b ow6 b ow6
yat1sang1	j 61 t s 61 N
yat1baak3	j 61 t b a:3 k
yat1jik6	j 61 t dz i:6 k
yat1aan5	j 61 t a:5 n
yat1jung2	j 61 t dz u:2 N
yat1chyun1	j 61 t ts y:1 n
yat1hai6	j 61 t h 6j6
yat1geuk3	j 61 t g 9:3 k
yat1bun1	j 61 t b u:1 n
yat1bun1bun1	j 61 t b u:1 n b u:1 n
yat1lok6	j 61 t l O:6 k
yat1hei2	j 61 t h ej2
yat1lou6	j 61 t l ow6
yat1san1seung6	j 61 t s 61 n s 9:6 N
yat1leun4	j 61 t l 9:4 n
yat1bin1	j 61 t b i:1 n
yat1yu6dou2	j 61 t j y:6 d ow2
yat1pin3	j 61 t p i:3 n
yat1pin3sei2jik6	j 61 t p i:3 n s ej2 dz i:6 k
yat1bou6fan6	j 61 t b ow6 f 66 n
yat1gaan1	j 61 t g a:1 n
yat1jan6	j 61 t dz 66 n
yat1jan6sin1	j 61 t dz 66 n s i:1 n
yat1jan6gaan1	j 61 t dz 66 n g a:1 n
yat1jan6jan6	j 61 t dz 66 n dz 66 n
yat1chai4	j 61 t ts 6j4
ding1ding1che1	d i:1 N d i:1 N ts E:1
chat1	ts 61 t
chat1sap6	ts 61 t s 66 p
chat1a6gei2	ts 61 t a:6 g ej2
chat1hou6	ts 61 t h ow6
chat1sing1aam4	ts 61 t s i:1 N a:4 m
chat1lau5	ts 61 t l 6w5
chat1baak3	ts 61 t b a:3 k
maan6	m a:6 n
maan6sing3jit3	m a:6 n s i:3 N dz i:3 t
maan6ok3yam4wai4sau2	m a:6 n O: k3 j 64 m w 6j4 s 6w2
maan6fo1	m a:6 n f O:1
maan6luk6wu4	m a:6 n l u:6 k w u:4
saam1	s a:1 m
saam1ei1	s a:1 m ej1
saam1di1	s a:1 m d i:1
saam1ji1	s a:1 m dz i:1
saam1jung1	s a:1 m dz u:1 N
saam1sap6	s a:1 m s 66 p
saam1a6yat1hou6	s a:1 m a:6 j 61 t h ow6
saam1a6maan6	s a:1 m a:6 m a:6 n
saam1a6m5	s a:1 m a:6 m5
saam1sap6fan6	s a:1 m s 66 p f 66 n
saam1a6baat3	s a:1 m a:6 b a:3 t
saam1chin1	s a:1 m ts i:1 n
saam1chin1yun4	s a:1 m ts i:1 n j y:4 n
saam1hou6	s a:1 m h ow6
saam1hou2	s a:1 m h ow2
saam1hou2hok6sang1	s a:1 m h ow2 h O:6 k s 61 N
saam1je2	s a:1 m dz E:2
saam1yi1	s a:1 m j i:1
saam1siu2	s a:1 m s iw2
saam1gang1	s a:1 m g 61 N
