syllable,syllable_duration,word,word_begin,word_end,word_num_syllables,word_stress_pattern,utterance_speech_rate,speaker,speaker_sex,file
T.EY1.L,0.5,tail,9.6,10.1,1,1,3.8910505836575884,1089,M,1089-134686-0006
S.L.OW1,0.33999999999999986,slowly,6.51,7.13,2,1-0,4.236006051437217,1089,M,1089-134686-0006
F.L.AW1,0.33999999999999986,flower,5.61,6.13,2,1-0,5.511811023622049,1089,M,1089-134686-0031
F.IH1.R,0.54,fear,4.08,4.62,1,1,3.1400966183574877,1089,M,1089-134686-0031
W.ER1.D.Z,0.4300000000000006,words,4.1,4.53,1,1,4.705882352941176,1089,M,1089-134686-0021
L.EY1,0.19999999999999996,layman,0.55,0.97,2,1-0,5.882352941176471,1089,M,1089-134686-0021
B.AE1.P,0.28000000000000025,baptized,5.5,6.28,2,1-2,3.1847133757961776,1089,M,1089-134686-0021
K.AA1.N,0.25,consecrated,5.28,6.09,4,1-0-2-0,5.080213903743315,1089,M,1089-134686-0024
V.IH1,0.1399999999999999,vinegar,1.56,2.07,3,1-0-0,5.000000000000001,1089,M,1089-134686-0024
M.AE1.N,0.5299999999999994,man,10.67,11.2,1,1,3.5416666666666674,1089,M,1089-134686-0024
S.IH1,0.2999999999999998,city,6.95,7.5,2,1-0,3.993055555555556,1089,M,1089-134691-0025
W.EY1.V.Z,0.79,waves,4.06,4.85,1,1,3.4013605442176877,1089,M,1089-134691-0004
W.AY1.N,0.41000000000000014,wine,5.17,5.58,1,1,4.816955684007707,1089,M,1089-134686-0023
B.L.AH1.D,0.40000000000000036,blood,8.26,8.66,1,1,3.985507246376812,1089,M,1089-134686-0023
T.EH1.N,0.6,ten,0.65,1.25,1,1,2.830188679245283,1089,M,1089-134686-0004
Y.UW1,0.31999999999999984,you,3.1,3.42,1,1,4.040404040404041,1089,M,1089-134686-0004
HH.AH1.Z,0.27999999999999936,husband,4.48,5.11,2,1-0,4.0,1089,M,1089-134686-0004
S.AO1.S,0.5700000000000003,sauce,9.56,10.13,1,1,3.8410596026490063,1089,M,1089-134686-0000
D.IH1,0.11999999999999988,dinner,1.99,2.36,2,1-0,4.838709677419355,1089,M,1089-134686-0000
N.AY1.T,0.4500000000000002,knight,7.09,7.54,1,1,4.36241610738255,1089,M,1089-134686-0013
B.R.AA1,0.25,brothels,5.52,6.18,2,1-0,4.295532646048111,1089,M,1089-134686-0002
W.ER1.D.Z,0.6900000000000001,words,0.39,1.08,1,1,1.4492753623188404,1089,M,1089-134691-0015
K.AO1,0.27,calling,2.29,2.8,2,1-0,4.347826086956522,1089,M,1089-134691-0019
OW1.N,0.16999999999999993,only,10.38,10.75,2,1-0,4.761904761904763,1089,M,1089-134686-0020
F.AO1.R,0.20999999999999996,fortune,5.54,5.98,2,1-0,4.1516245487364625,1089,M,1089-134686-0020
B.AE1.K,0.3800000000000008,back,8.26,8.64,1,1,3.862660944206007,1089,M,1089-134686-0020
F.AO1.R,0.17999999999999972,fortune,16.04,16.54,2,1-0,3.389830508474577,1089,M,1089-134686-0020
IH0.T,0.19000000000000128,it,14.37,14.56,1,1,5.070422535211266,1089,M,1089-134686-0020
B.R.IH1.JH,0.40999999999999925,bridge,7.87,8.28,1,1,4.294478527607362,1089,M,1089-134691-0009
HH.IH1,0.129999999999999,hickey,19.18,19.57,2,1-0,6.1538461538461675,1089,M,1089-134691-0009
K.AA1,0.2400000000000002,collars,14.59,15.19,2,1-0,3.8461538461538454,1089,M,1089-134691-0009
HH.AE1.T.S,0.41999999999999993,hats,12.49,12.91,1,1,4.156479217603912,1089,M,1089-134691-0009
K.L.OW1.Z,0.6999999999999993,clothes,17.19,17.89,1,1,3.614457831325301,1089,M,1089-134691-0009
F.R.AY1,0.23000000000000004,friday,0.43,0.88,2,1-0,4.477611940298507,1089,M,1089-134686-0029
B.IY1.D.Z,0.4700000000000002,beads,3.94,4.41,1,1,4.17910447761194,1089,M,1089-134686-0029
L.AO1.NG,0.26,longer,1.28,1.77,2,1-0,4.838709677419355,1089,M,1089-134691-0000
K.W.EH1.S,0.3099999999999996,question,5.54,6.14,2,1-0,4.21455938697318,1089,M,1089-134686-0025
AA1.R.M.Z,0.6299999999999999,arms,4.58,5.21,1,1,3.773584905660378,1089,M,1089-134691-0005
B.IY1,0.3600000000000001,be,1.76,2.12,1,1,4.4692737430167595,1089,M,1089-134686-0014
R.AE1.NG,0.39999999999999947,rang,5.16,5.56,1,1,3.750000000000001,1089,M,1089-134686-0015
S.K.UW1.L,0.43999999999999995,schoolroom,1.73,2.45,2,1-2,5.10948905109489,1089,M,1089-134686-0015
D.AH1.S.K,0.49,dusk,0.36,0.85,1,1,4.054054054054054,1089,M,1089-134686-0015
TH.AO1.T.S,0.5300000000000002,thoughts,3.46,3.99,1,1,4.37956204379562,1089,M,1089-134686-0015
G.L.OW1,0.4300000000000006,glow,4.56,4.99,1,1,3.9548022598870056,1089,M,1089-134686-0037
S.AY1,0.27,silence,0.69,1.24,2,1-0,4.878048780487805,1089,M,1089-134686-0037
M.AW1.N,0.28000000000000025,mountains,2.44,3.21,2,1-0,3.5587188612099645,1089,M,1089-134686-0035
S.T.IH1.K,0.4700000000000002,stick,3.78,4.25,1,1,4.27807486631016,1089,M,1089-134686-0010
F.R.AH1.M,0.31999999999999984,from,3.44,3.76,1,1,5.555555555555556,1089,M,1089-134686-0026
W.ER1.D.Z,0.5200000000000005,words,4.71,5.23,1,1,3.9748953974895396,1089,M,1089-134691-0022
M.AA1.R.CH,0.46999999999999975,march,4.83,5.3,1,1,3.9800995024875627,1089,M,1089-134691-0016
S.K.AY1,0.52,sky,2.45,2.97,1,1,5.263157894736842,1089,M,1089-134691-0016
AY1.R,0.3200000000000003,ireland,6.75,7.29,2,1-0,4.678362573099415,1089,M,1089-134691-0016
B.AW1.N.D,0.5,bound,7.99,8.49,1,1,2.8846153846153846,1089,M,1089-134691-0016
W.IH1,0.21999999999999886,weariness,8.56,9.29,3,1-0-0,3.6496350364963526,1089,M,1089-134686-0005
W.ER1.D.Z,0.5699999999999998,words,2.64,3.21,1,1,4.25531914893617,1089,M,1089-134686-0005
S.EY1.F,0.4399999999999995,safe,10.73,11.17,1,1,4.054054054054053,1089,M,1089-134691-0002
B.EH1,0.20000000000000107,barrack,9.78,10.26,2,1-0,5.487804878048782,1089,M,1089-134691-0002
B.UH1.L,0.5200000000000002,bull,1.97,2.49,1,1,4.545454545454545,1089,M,1089-134691-0002
B.AE1.K,0.34999999999999964,back,6.08,6.43,1,1,4.383561643835616,1089,M,1089-134691-0002
S.AE1,0.2599999999999998,saturday,6.73,7.45,3,1-2-2,3.888888888888889,1089,M,1089-134686-0028
S.IY1,0.4400000000000004,sea,5.67,6.11,1,1,3.8596491228070167,1089,M,1089-134691-0008
T.UW1,0.43999999999999995,two,2.48,2.92,1,1,3.846153846153846,1089,M,1089-134691-0008
F.EY1.S,0.5099999999999998,face,14.06,14.57,1,1,4.0169133192389,1089,M,1089-134691-0008
R.EY1,0.2699999999999996,races,10.6,11.22,2,1-0,3.0534351145038165,1089,M,1089-134691-0017
S.IY1,0.5200000000000005,sea,3.63,4.15,1,1,4.407713498622589,1089,M,1089-134691-0017
S.T.OW1.N,0.56,stone,1.13,1.69,1,1,3.361344537815126,1089,M,1089-134691-0021
P.L.AH1.N,0.3099999999999996,plunges,4.7,5.33,2,1-0,4.129793510324483,1089,M,1089-134691-0021
L.AH1,0.15999999999999837,lustre,12.46,13.0,2,1-0,3.015075376884422,1089,M,1089-134691-0021
HH.AO1.R,0.1999999999999993,horseplay,10.06,10.66,2,1-2,4.444444444444445,1089,M,1089-134691-0021
K.AO1.R.D,0.5200000000000005,chord,3.88,4.4,1,1,3.6175710594315245,1089,M,1089-134691-0014
