utterance,loglikelihood
words-BABEL-BP-101-77965-20111019-134901-outLine-4-71-9-06,-46.0693023255814
words-BABEL-BP-101-77965-20111019-134901-outLine-9-06-14-71,-52.04223214285714
words-BABEL-BP-101-77965-20111019-134901-outLine-18-17-25-39,-51.19208333333333
words-BABEL-BP-101-77965-20111019-134901-outLine-33-17-40-18,-44.025285714285715
words-BABEL-BP-101-77965-20111019-134901-outLine-40-18-47-26,-40.48822857142857
words-BABEL-BP-101-77965-20111019-134901-outLine-51-76-58-44,-46.693045454545455
words-BABEL-BP-101-77965-20111019-134901-outLine-61-93-69-32,-38.41143835616438
words-BABEL-BP-101-77965-20111019-134901-outLine-69-32-73-52,-36.14116666666667
words-BABEL-BP-101-77965-20111019-134901-outLine-79-03-87-89,-38.702704545454544
words-BABEL-BP-101-77965-20111019-134901-outLine-87-89-91-12,-34.06253125
words-BABEL-BP-101-77965-20111019-134901-outLine-91-12-97-31,-102.78531147540984
words-BABEL-BP-101-77965-20111019-134901-outLine-101-55-110-46,-41.51276404494382
words-BABEL-BP-101-77965-20111019-134901-outLine-110-46-116-54,-53.697250000000004
words-BABEL-BP-101-77965-20111019-134901-outLine-116-54-123-58,-32.911614285714286
words-BABEL-BP-101-77965-20111019-134901-outLine-132-16-137-94,-50.81666666666667
words-BABEL-BP-101-77965-20111019-134901-outLine-137-94-142-66,-44.3903829787234
words-BABEL-BP-101-77965-20111019-134901-outLine-151-34-159-72,-50.00274698795181
words-BABEL-BP-101-77965-20111019-134901-outLine-164-88-173-39,-39.97827058823529
words-BABEL-BP-101-77965-20111019-134901-outLine-185-5-192-26,-43.99202985074627
words-BABEL-BP-101-77965-20111019-134901-outLine-245-03-248-57,-48.67482857142857
words-BABEL-BP-101-77965-20111019-134901-outLine-248-57-254-34,-43.667280701754386
words-BABEL-BP-101-77965-20111019-134901-outLine-254-34-257-78,-42.07573529411765
words-BABEL-BP-101-77965-20111019-134901-outLine-257-78-267-63,-44.66392857142857
words-BABEL-BP-101-77965-20111019-134901-outLine-267-63-272-47,-51.50635416666666
words-BABEL-BP-101-77965-20111019-134901-outLine-272-47-281-24,-42.02489655172414
words-BABEL-BP-101-77965-20111019-134901-outLine-281-24-292-72,-48.09938596491228
words-BABEL-BP-101-77965-20111019-134901-outLine-304-94-310-48,-34.890981818181814
words-BABEL-BP-101-77965-20111019-134901-outLine-349-93-358-27,-42.63268674698795
words-BABEL-BP-101-77965-20111019-134901-outLine-358-27-367-06,-44.31318390804598
