utterance,loglikelihood
words-BABEL-BP-101-76733-20111128-131042-C6-scripted,-35.22233333333333
words-BABEL-BP-101-96283-20111115-151454-S2-scripted,-35.81687142857143
words-BABEL-BP-101-74404-20111020-182723-S0-scripted,-42.52271428571429
words-BABEL-BP-101-89818-20111019-175302-C5-scripted,-35.98491176470588
words-BABEL-BP-101-21929-20111025-180344-S5-scripted,-35.035088
words-BABEL-BP-101-16266-20111027-144051-C6-scripted,-36.929337209302325
words-BABEL-BP-101-25035-20111028-131901-S5-scripted,-42.96128888888889
words-BABEL-BP-101-49541-20111104-190754-S2-scripted,-42.09173333333334
words-BABEL-BP-101-40439-20111203-180801-S8-scripted,-38.39072881355932
words-BABEL-BP-101-37110-20111019-201514-C3-scripted,-35.86935294117647
words-BABEL-BP-101-28740-20111028-212855-S8-scripted,-48.995309523809524
words-BABEL-BP-101-51052-20111121-172943-D1-scripted,-32.58417213114754
words-BABEL-BP-101-64889-20111124-214431-D1-scripted,-38.04004411764706
words-BABEL-BP-101-44836-20111119-151943-O1-scripted,-47.59375
words-BABEL-BP-101-76919-20111120-200051-S4-scripted,-38.03021505376344
words-BABEL-BP-101-51052-20111121-173546-S3-scripted,-34.72125892857143
words-BABEL-BP-101-79412-20111026-004215-O7-scripted,-34.113150000000005
words-BABEL-BP-101-77244-20111127-004225-I2-scripted,-23.149124999999998
words-BABEL-BP-101-15460-20111120-190712-D2-scripted,-40.03788095238095
words-BABEL-BP-101-24420-20111122-213342-C4-scripted,-30.546444444444447
words-BABEL-BP-101-11479-20111021-201417-L1-scripted,-42.87407339449542
words-BABEL-BP-101-60826-20111120-163111-N1-scripted,-38.77632142857143
words-BABEL-BP-101-20685-20111019-122011-I2-scripted,-29.025215789473684
words-BABEL-BP-101-36383-20111129-173237-S1-scripted,-35.38319841269841
words-BABEL-BP-101-39080-20111124-175842-SA-scripted,-47.73529365079365
words-BABEL-BP-101-72718-20111129-162724-C3-scripted,-44.56161111111111
words-BABEL-BP-101-29097-20111018-132116-O2-scripted,-29.843830303030302
words-BABEL-BP-101-36424-20111119-142548-I2-scripted,-31.010634615384618
words-BABEL-BP-101-17572-20111116-153800-S0-scripted,-40.452393939393936
words-BABEL-BP-101-23571-20111128-230001-S1-scripted,-40.30288888888889
words-BABEL-BP-101-68295-20111124-173737-C4-scripted,-31.058109375
words-BABEL-BP-101-93091-20111022-180703-S2-scripted,-37.071746987951805
words-BABEL-BP-101-48053-20111020-124545-S9-scripted,-54.42603225806452
words-BABEL-BP-101-31393-20111018-152131-S2-scripted,-46.19774468085106
words-BABEL-BP-101-29097-20111018-132707-S6-scripted,-40.85375714285714
words-BABEL-BP-101-50409-20111204-155134-D3-scripted,-30.766877192982456
words-BABEL-BP-101-58137-20111121-193410-C4-scripted,-29.9339
words-BABEL-BP-101-76341-20111027-123623-O3-scripted,-28.894093023255813
words-BABEL-BP-101-12897-20111115-163213-SB-scripted,-37.95332098765432
words-BABEL-BP-101-93643-20111021-152224-S1-scripted,-39.74291588785047
words-BABEL-BP-101-14054-20111119-160840-S4-scripted,-41.2915306122449
words-BABEL-BP-101-83791-20111017-203425-O7-scripted,-29.165472222222224
words-BABEL-BP-101-77348-20111018-165420-D2-scripted,-45.64137288135593
words-BABEL-BP-101-88464-20111119-191819-O3-scripted,-28.69446551724138
words-BABEL-BP-101-59032-20111130-123427-SA-scripted,-34.80930232558139
words-BABEL-BP-101-54315-20111018-144840-S9-scripted,-42.45122826086956
words-BABEL-BP-101-88243-20111024-184743-O4-scripted,-28.717432432432435
words-BABEL-BP-101-21584-20111030-204431-S3-scripted,-44.89555789473685
words-BABEL-BP-101-83362-20111018-184342-S8-scripted,-41.427048387096775
words-BABEL-BP-101-95589-20111118-210420-T2-scripted,-32.06764516129032
words-BABEL-BP-101-51374-20111020-142252-N1-scripted,-46.94634523809524
words-BABEL-BP-101-27178-20111025-171604-S7-scripted,-46.26183908045977
words-BABEL-BP-101-92628-20111102-124932-S7-scripted,-34.207476190476186
words-BABEL-BP-101-31393-20111018-151617-O1-scripted,-26.405156666666667
words-BABEL-BP-101-50589-20111025-184555-T3-scripted,-36.48712987012987
words-BABEL-BP-101-61822-20111022-194415-C5-scripted,-35.16382954545455
words-BABEL-BP-101-53824-20111115-171618-O5-scripted,-30.414686567164182
words-BABEL-BP-101-37110-20111019-201156-C4-scripted,-35.729838709677416
words-BABEL-BP-101-44403-20111023-145308-T3-scripted,-37.03328378378379
words-BABEL-BP-101-13229-20111127-134307-S7-scripted,-37.91603529411765
words-BABEL-BP-101-58190-20111124-201246-O6-scripted,-38.670500000000004
words-BABEL-BP-101-12003-20111116-125913-C5-scripted,-31.27561111111111
words-BABEL-BP-101-40123-20111129-175531-S7-scripted,-41.060785714285714
words-BABEL-BP-101-84335-20111116-201818-C5-scripted,-35.07035714285714
words-BABEL-BP-101-59032-20111130-123148-O3-scripted,-24.613777777777777
words-BABEL-BP-101-26350-20111019-200231-M1-scripted,-48.18380952380952
words-BABEL-BP-101-65606-20111116-134314-O5-scripted,-27.923066666666667
words-BABEL-BP-101-16617-20111030-141001-T1-scripted,-36.40395238095238
words-BABEL-BP-101-68295-20111124-174353-S3-scripted,-39.85572448979592
words-BABEL-BP-101-28260-20111021-175950-S7-scripted,-46.84893
