vowel,following_phone,word,word_duration,word_transcription,following_word_transcription,begin,end,discourse,speaker,gender,speaker_mean_f0,speaker_sd_f0,speaker_median_f0,utterance_duration,utterance_num_syllables,word_type,word_frequency,utterance_mean_f0,utterance_min_f0,utterance_max_f0,following_syllable_mean_f0,following_following_syllable_mean_f0,following_following_following_syllable_mean_f0,time,F0,wp_tone,gp_tone
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.025,239.26,N/A,N/A
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.035,214.55,N/A,N/A
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.045,212.05,N/A,N/A
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.055,214.45,N/A,N/A
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.065,215.83,N/A,N/A
i,t,ิิตย,0.3700000000000001,i.t.a.j,s.aa.n,4.01,4.08,TH006_116,TH006,female,209.03304803083978,23.349371139224864,206.91,2.2200000000000006,7,,,202.2681142857143,165.87,252.23,230.7885,185.45388888888888,199.1969696969697,4.075,218.8,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.125,125.62,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.135,124.65,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.145,122.96,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.155,119.61,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.165,117.91,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.175,116.87,N/A,N/A
a,n,ััน,0.25,a.n,s.a.w.z.aa.th.i.t,8.09,8.19,TH007_28,TH007,male,118.99323733588935,15.589276066460307,116.93,0.9100000000000001,4,,,110.80446153846154,95.37,130.79,102.25228571428572,126.735,130.755,8.185,116.41,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.215,121.79,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.225,119.03,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.235,116.08,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.245,112.75,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.255,111.71,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.265,108.83,N/A,N/A
ii,k,ีีก,0.17999999999999972,ii.k,m.a.j,6.16,6.3,TH007_118,TH007,male,118.99323733588935,15.589276066460307,116.93,0.6299999999999999,2,,,108.3067924528302,95.84,127.88,,,,6.275,106.18,N/A,N/A
