ሀም	h1m6	h a m
ሀምፕተኑ	h1m6p6t1n2	h a m p . t @ . n u
ሀምፕተን	h1m6p6t1n6	h a m p . t @ n
ሀቢባ	h1b3b4	h a . b i . b a
ሀብቱም	h1b6t2m6	h a b . t u m m
ሀብታምን	h1b6t4m6n6	h a b . t a . m 1 n
ሀኑ	h1n2	h a . n u	h a n . n u
ሀናም	h1n4m6	h a n . n a m
ሀኪሞቹ	h1k3m7c2	h a . k i . m o tS . tS u
ሀዋሪያት	h1w4r3y4t6	h a . w a . r i . j a t
ሀዛርድ	h1z4r6d6	h a . z a r d
ሀይላንድ	h1y6l4n6d6	h a j . l a n d
ሀይሚ	h1y6m3	h a j . m i
ሀገሬን	h1g1r5n6	h a . g @ . r e n
ሁለተኛም	h2l1t1J4m6	h u . l @ t . t @ J . J a m
ሁለገብ	h2l1g1b6	h u l . l @ . g @ b b
ሁሌስ	h2l5s6	h u l . l e s s
ሁልቀን	h2l6K1n6	h u l . l 1 . k> @ n
ሁሎችንም	h2l7c6n6m6	h u l . l o tS . tS 1 . n 1 m m
ሁሏንም	h2lw4n6m6	h u lw . lw a . n 1 m
ሁነዋል	h2n1w4l6	h u . n @ . w a l
ሁኔታን	h2n5t4n6	h u . n e . t a n
ሂሩቴ	h3r2t5	h i . r u . t e
ሂሳብህን	h3s4b6h6n6	h i . s a b . h 1 n
ሂሳብም	h3s4b6m6	h i . s a . b 1 m
ሄሩ	h5r2	h e . r u
ሄስ	h5s6	h e s
ሄደቻ	h5d1c4	h e . d @ tS . tS a
ሄዱበት	h5d2b1t6	h e . d u b . b @ t
ሄዳችኋ	h5d4c6xw4	h e . d a tS . tS 1 . hw a
ሄድም	h5d6m6	h e . d 1 m m	h e d . d 1 m m
ሄዷላ	h5dw4l4	h e . dw a l . l a
ሄጃለሁኝ	h5j4l1h2J6	h e dZ . dZ a l . l @ . h u J J
ህልሜ	h6l6m5	h 1 l . m e
ህመሙስ	h6m1m2s6	h 1 . m @ . m u s s
ህማማትማ	h6m4m4t6m4	h 1 . m a . m a . t 1 m . m a
ህማማትኮ	h6m4m4t6k7	h 1 . m a . m a . t 1 k . k o
ህብረተሰቡም	h6b6r1t1s1b2m6	h 1 b . r @ . t @ . s @ . b u m m
ህንፃዎች	h6n6tz4w7c6	h 1 n . s> a . w o tS tS
ህክምናችንን	h6k6m6n4c6n6n6	h 1 k . k 1 . m 1 n . n a tS . tS 1 . n 1 n
ህይወቴን	h6y6w1t5n6	h 1 j . w @ . t e n
ህፃኑ	h6tz4n2	h 1 . s> a . n u
ህፃኑን	h6tz4n2n6	h 1 . s> a . n u n
ሆም	h7m6	h o m
ሆቴሉ	h7t5l2	h o . t e . l u
ሆነህም	h7n1h6m6	h o . n @ . h 1 m m
ሆነና	h7n1n4	h o . n @ n . n a
ሆናብኝ	h7n4b6J6	h o . n a b . b 1 J
ሆንክም	h7n6k6m6	h o n . k 1 m
ሆኖባት	h7n7b4t6	h o . n o b . b a t
ሆኖን	h7n7n6	h o . n o n
ሆኖኝ	h7n7J6	h o . n o J J
ሆድሽን	h7d6sh6n6	h o d . S 1 n
ለሀያ	l1h1y4	l @ . h a . j a
ለሀገራቸው	l1h1g1r4c1w6	l @ . h a . g @ . r a tS . tS @ w
ለሁለታችሁ	l1h2l1t4c6h2	l @ . h u . l @ t . t a tS . tS 1 . h u
ለሁላችን	l1h2l4c6n6	l @ . h u l . l a tS . tS 1 n
ለሄደው	l1h5d1w6	l @ . h e . d @ w
ለህማማቱ	l1h6m4m4t2	l @ . h 1 . m a . m a . t u
ለሆድህ	l1h7d6h6	l @ . h o . d 1 h
ለለቅሶ	l1l1K6s7	l @ . l @ k> . s o
ለላይ	l1l4y6	l @ . l a j
ለልብስ	l1l6b6s6	l @ . l 1 . b 1 s
ለልጁም	l1l6j2m6	l @ . l 1 . dZ u m
ለልጆችህ	l1l6j7c6h6	l @ . l 1 . dZ o tS . tS 1 h
ለሔርሜላም	l1H5r6m5l4m6	l @ . h e r . m e l . l a m m
ለሕሊናም	l1H6l3n4m6	l @ . h 1 l . l i . n a m m
ለመሌም	l1m1l5m6	l @ . m @ l . l e m m
ለመመለሱም	l1m1m1l1s2m6	l @ . m @ m . m @ . l @ . s u m m	l @ . m @ . m @ l . l @ . s u m m
ለመመዝገቢያ	l1m1m1z6g1b3y4	l @ . m @ m . m @ z . g @ . b i . j a	l @ . m @ . m @ z . g @ . b i . j a
ለመመዝገብ	l1m1m1z6g1b6	l @ . m @ m . m @ z . g @ b
ለመሳሳት	l1m1s4s4t6	l @ . m @ . s a . s a t	l @ . m @ s . s a . s a t
ለመስራትም	l1m1s6r4t6m6	l @ . m @ s . r a . t 1 m m
ለመሸኘት	l1m1sh1J1t6	l @ . m @ . S @ J . J @ t	l @ . m @ S . S @ . J @ t
ለመሹለክ	l1m1sh2l1k6	l @ . m @ . S u . l @ k
ለመቀነስ	l1m1K1n1s6	l @ . m @ k> . k> @ . n @ s	l @ . m @ . k> @ n . n @ s
ለመቀየር	l1m1K1y1r6	l @ . m @ k> . k> @ . j @ r	l @ . m @ . k> @ j . j @ r
ለመታየት	l1m1t4y1t6	l @ . m @ t . t a . j @ t
ለመነጋገር	l1m1n1g4g1r6	l @ . m @ n . n @ . g a . g @ r
ለመኑኝ	l1m1n2J6	l @ m . m @ . n u J J
