outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_101_63459_20111120_162129_D3_scripted.sph	63459	20111120	162129	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_94696_20111203_190259_N1_scripted.sph	94696	20111203	190259	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_86016_20111118_134039_T1_scripted.sph	86016	20111118	134039	86016	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	China_Unicom	Motorola
BABEL_BP_101_92321_20111125_150518_A1_scripted.sph	92321	20111125	150518	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_78879_20111102_130651_I2_scripted.sph	78879	20111102	130651	78879	inLine	Northern_Guangdong	M	STREET	22	China_Unicom	Nokia
BABEL_BP_101_63459_20111120_161719_O2_scripted.sph	63459	20111120	161719	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_20408_20111101_202513_D2_scripted.sph	20408	20111101	202513	20408	inLine	Northern_Guangdong	M	PUBLIC_PLACE	18	CMCC	Nokia
BABEL_BP_101_98086_20111129_155128_SA_scripted.sph	98086	20111129	155128	98086	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	47	CMCC	Nokia
BABEL_BP_101_23571_20111128_225822_C2_scripted.sph	23571	20111128	225822	23571	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	48	China_Telecom	BBK
BABEL_BP_101_74395_20111117_132328_O6_scripted.sph	74395	20111117	132328	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_95542_20111026_183138_S5_scripted.sph	95542	20111026	183138	95542	inLine	Guangxi_and_Western_Guangdong	M	STREET	46	CMCC	LG
BABEL_BP_101_40439_20111203_180407_L3_scripted.sph	40439	20111203	180407	40439	inLine	Central_Guangdong	F	CAR_KIT	17	CMCC	Nokia
BABEL_BP_101_80008_20111031_165123_O1_scripted.sph	80008	20111031	165123	80008	inLine	Guangxi_and_Western_Guangdong	M	VEHICLE	31	CMCC	Nokia
BABEL_BP_101_63459_20111120_162420_I1_scripted.sph	63459	20111120	162420	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_94696_20111203_185739_O3_scripted.sph	94696	20111203	185739	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_23571_20111128_230527_T3_scripted.sph	23571	20111128	230527	23571	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	48	China_Telecom	BBK
BABEL_BP_101_14054_20111119_160542_C1_scripted.sph	14054	20111119	160542	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_53985_20111027_132025_S8_scripted.sph	53985	20111027	132025	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_92321_20111125_150154_S9_scripted.sph	92321	20111125	150154	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_14054_20111119_160555_L1_scripted.sph	14054	20111119	160555	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_16617_20111030_141047_S7_scripted.sph	16617	20111030	141047	16617	inLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_58190_20111124_200841_O1_scripted.sph	58190	20111124	200841	58190	inLine	Northern_Guangdong	M	CAR_KIT	40	CMCC	Philips
BABEL_BP_101_38108_20111125_150439_C5_scripted.sph	38108	20111125	150439	38108	inLine	Northern_Guangdong	M	STREET	28	CMCC	Nokia
BABEL_BP_101_96630_20111104_003252_S5_scripted.sph	96630	20111104	003252	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_37285_20111028_000527_O6_scripted.sph	37285	20111028	000527	37285	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_LANDLINE	35	China_Telecom	ZTE
BABEL_BP_101_14729_20111114_184635_S1_scripted.sph	14729	20111114	184635	14729	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	23	CMCC	HTC
BABEL_BP_101_92321_20111125_150415_SC_scripted.sph	92321	20111125	150415	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_36424_20111119_142929_S2_scripted.sph	36424	20111119	142929	36424	inLine	Southern_Pearl_River_Delta	F	CAR_KIT	47	China_Unicom	Samsung
