outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_101_63459_20111120_162129_D3_scripted.sph	63459	20111120	162129	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_94696_20111203_190259_N1_scripted.sph	94696	20111203	190259	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_94514_20111127_124622_T2_scripted.sph	94514	20111127	124622	94514	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	48	CMCC	Nokia
BABEL_BP_101_90506_20111026_180107_C5_scripted.sph	90506	20111026	180107	90506	inLine	Guangxi_and_Western_Guangdong	F	CAR_KIT	46	CMCC	Philips
BABEL_BP_101_55369_20111022_144300_O6_scripted.sph	55369	20111022	144300	55369	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	Nokia
BABEL_BP_101_68295_20111124_173553_T1_scripted.sph	68295	20111124	173553	68295	inLine	Northern_Guangdong	M	VEHICLE	22	CMCC	Nokia
BABEL_BP_101_47128_20111027_134831_D1_scripted.sph	47128	20111027	134831	47128	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	28	CMCC	Nokia
BABEL_BP_101_39246_20111119_183520_S1_scripted.sph	39246	20111119	183520	39246	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_LANDLINE	46	China_Telecom	Panasonic
BABEL_BP_101_58923_20111021_131056_SA_scripted.sph	58923	20111021	131056	58923	inLine	Guangxi_and_Western_Guangdong	M	PUBLIC_PLACE	25	CMCC	Nokia
BABEL_BP_101_28161_20111024_173102_C3_scripted.sph	28161	20111024	173102	28161	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	40	CMCC	Lenovo
BABEL_BP_101_27427_20111021_131145_D2_scripted.sph	27427	20111021	131145	27427	inLine	Central_Guangdong	M	HOME_OFFICE_MOBILE	48	CMCC	Nokia
BABEL_BP_101_42615_20111018_171511_S8_scripted.sph	42615	20111018	171511	42615	inLine	Central_Guangdong	F	HOME_OFFICE_MOBILE	22	China_Unicom	Sony_Ericsson
BABEL_BP_101_36268_20111028_172649_D2_scripted.sph	36268	20111028	172649	36268	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	54	CMCC	Nokia
BABEL_BP_101_88294_20111026_020754_C6_scripted.sph	88294	20111026	020754	88294	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	37	CMCC	Samsung
BABEL_BP_101_85883_20111126_181951_C3_scripted.sph	85883	20111126	181951	85883	inLine	Central_Guangdong	M	CAR_KIT	21	CMCC	Nokia
BABEL_BP_101_11371_20111018_180605_S2_scripted.sph	11371	20111018	180605	11371	inLine	Central_Guangdong	F	HOME_OFFICE_MOBILE	38	CMCC	Nokia
BABEL_BP_101_92321_20111125_150518_A1_scripted.sph	92321	20111125	150518	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_86016_20111118_134039_T1_scripted.sph	86016	20111118	134039	86016	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	China_Unicom	Motorola
BABEL_BP_101_81308_20111021_141809_S1_scripted.sph	81308	20111021	141809	81308	inLine	Central_Guangdong	M	PUBLIC_PLACE	59	China_Telecom	Nokia
BABEL_BP_101_58923_20111021_131253_N1_scripted.sph	58923	20111021	131253	58923	inLine	Guangxi_and_Western_Guangdong	M	PUBLIC_PLACE	25	CMCC	Nokia
BABEL_BP_101_14500_20111114_195556_SB_scripted.sph	14500	20111114	195556	14500	inLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_MOBILE	21	CMCC	Basicom
BABEL_BP_101_76341_20111027_123701_L2_scripted.sph	76341	20111027	123701	76341	inLine	Northern_Guangdong	F	VEHICLE	34	CMCC	Tianyu
BABEL_BP_101_80156_20111023_200638_S8_scripted.sph	80156	20111023	200638	80156	inLine	Northern_Guangdong	F	PUBLIC_PLACE	22	CMCC	Nokia
BABEL_BP_101_64889_20111124_214628_I2_scripted.sph	64889	20111124	214628	64889	inLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_MOBILE	19	CMCC	Sony_Ericsson
BABEL_BP_101_78879_20111102_130651_I2_scripted.sph	78879	20111102	130651	78879	inLine	Northern_Guangdong	M	STREET	22	China_Unicom	Nokia
BABEL_BP_101_95589_20111118_210039_O2_scripted.sph	95589	20111118	210039	95589	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	46	China_Tietong	Telifeng
BABEL_BP_101_49624_20111120_195341_S4_scripted.sph	49624	20111120	195341	49624	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	34	CMCC	Samsung
