<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
B	bi1	b i: _1
C	si1	s i: _1
D	di1	d i: _1
E	yi1	j i: _1
F	e1fu4	E: _1 . f u: _4
G	yi1	j i: _1
H	ei1chu3	ej _1 . ts u: _3
I	aai1	a:j _1
J	chei1	ts ej _1
K	kei1	k ej _1
L	e1lou4	E: _1 . l ow _4
M	em1	E: m _1
N	en1	E: n _1
O	ou1	ow _1
P	pi1	p i: _1
Q	kiu1	k iw _1
R	a1lou4	a: _1 . l ow _4
S	e1si4	E: _1 . s i: _4
T	ti1	t i: _1
U	yu1	j y: _1
V	wi1	w i: _1
W	dak1bi1yu1	d 6 k _1 . b i: _1 . j y: _1
X	ek1si1	E: k _1 . s i: _1
Y	waai1	w a:j _1
Z	yi1set1	j i: _1 . s E: t _1
㗎	ga3	g a: _3
一	yat1	j 6 t _1
一万	yat1maan6	j 6 t _1 . m a: n _6
一下	yat1ha5	j 6 t _1 . h a: _5
一九七一年	yat1gau2chat1yat1nin4	j 6 t _1 . g 6w _2 . ts 6 t _1 . j 6 t _1 . l i: n _4	j 6 t _1 . g 6w _2 . ts 6 t _1 . j 6 t _1 . n i: n _4
一九七三年	yat1gau2chat1saam1nin4	j 6 t _1 . g 6w _2 . ts 6 t _1 . s a: m _1 . l i: n _4	j 6 t _1 . g 6w _2 . ts 6 t _1 . s a: m _1 . n i: n _4
一九七八年	yat1gau2chat1baat3nin4	j 6 t _1 . g 6w _2 . ts 6 t _1 . b a: t _3 . n i: n _4
一九七六年	yat1gau2chat1luk6nin4	j 6 t _1 . g 6w _2 . ts 6 t _1 . l u: k _6 . n i: n _4
一九七零年	yat1gau2chat1leng4nin4	j 6 t _1 . g 6w _2 . ts 6 t _1 . l E: N _4 . n i: n _4
一九九七年	yat1gau2gau2chat1nin4	j 6 t _1 . g 6w _2 . g 6w _2 . ts 6 t _1 . n i: n _4
一九九三年	yat1gau2gau2saam1nin4	j 6 t _1 . g 6w _2 . g 6w _2 . s a: m _1 . n i: n _4
一九九九年	yat1gau2gau2gau2nin4	j 6 t _1 . g 6w _2 . g 6w _2 . g 6w _2 . l i: n _4	j 6 t _1 . g 6w _2 . g 6w _2 . g 6w _2 . n i: n _4
一九九二年	yat1gau2gau2yi6nin4	j 6 t _1 . g 6w _2 . g 6w _2 . j i: _6 . n i: n _4
一九九五年	yat1gau2gau2ng5nin4	j 6 t _1 . g 6w _2 . g 6w _2 . N _5 . n i: n _4	j 6 t _1 . g 6w _2 . g 6w _2 . m _5 . n i: n _4
一九九六年	yat1gau2gau2luk6nin4	j 6 t _1 . g 6w _2 . g 6w _2 . l u: k _6 . n i: n _4
一九九四年	yat1gau2gau2sei3nin4	j 6 t _1 . g 6w _2 . g 6w _2 . s ej _3 . n i: n _4
一九九零年	yat1gau2gau2leng4nin4	j 6 t _1 . g 6w _2 . g 6w _2 . l E: N _4 . n i: n _4
