outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_203_10036_20130318_192320_O8_scripted.sph	10036	20130318	192320	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	31120	8000
BABEL_OP1_203_10036_20130318_192605_S2_scripted.sph	10036	20130318	192605	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	78000	8000
BABEL_OP1_203_10036_20130318_192524_C2_scripted.sph	10036	20130318	192524	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	61360	8000
BABEL_OP1_203_10036_20130318_192530_O3_scripted.sph	10036	20130318	192530	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	38480	8000
BABEL_OP1_203_10036_20130318_192906_R1_scripted.sph	10036	20130318	192906	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	67600	8000
BABEL_OP1_203_10036_20130318_192640_S5_scripted.sph	10036	20130318	192640	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	47760	8000
BABEL_OP1_203_10036_20130318_192507_S8_scripted.sph	10036	20130318	192507	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	46480	8000
BABEL_OP1_203_10036_20130318_192514_C1_scripted.sph	10036	20130318	192514	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	42800	8000
BABEL_OP1_203_10036_20130318_192625_S6_scripted.sph	10036	20130318	192625	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	77520	8000
BABEL_OP1_203_10036_20130318_192538_C4_scripted.sph	10036	20130318	192538	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	42160	8000
BABEL_OP1_203_10036_20130318_192553_O6_scripted.sph	10036	20130318	192553	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	39440	8000
BABEL_OP1_203_10036_20130318_192436_T1_scripted.sph	10036	20130318	192436	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	34480	8000
BABEL_OP1_203_10036_20130318_192756_S1_scripted.sph	10036	20130318	192756	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	83120	8000
BABEL_OP1_203_10036_20130318_192613_O5_scripted.sph	10036	20130318	192613	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	50000	8000
BABEL_OP1_203_10036_20130318_192821_N1_scripted.sph	10036	20130318	192821	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	53520	8000
BABEL_OP1_203_10036_20130318_192704_T2_scripted.sph	10036	20130318	192704	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	67200	8000
BABEL_OP1_203_10036_20130318_192546_M1_scripted.sph	10036	20130318	192546	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	44560	8000
BABEL_OP1_203_10036_20130318_192906_S9_scripted.sph	10036	20130318	192906	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	67600	8000
BABEL_OP1_203_10036_20130318_192443_O2_scripted.sph	10036	20130318	192443	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	31600	8000
BABEL_OP1_203_10036_20130318_192632_D3_scripted.sph	10036	20130318	192632	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	37840	8000
BABEL_OP1_203_10036_20130318_192802_A1_scripted.sph	10036	20130318	192802	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	28560	8000
BABEL_OP1_203_10036_20130318_192855_S7_scripted.sph	10036	20130318	192855	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	63600	8000
BABEL_OP1_203_10036_20130318_192429_C6_scripted.sph	10036	20130318	192429	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	53840	8000
BABEL_OP1_203_10036_20130318_192812_S4_scripted.sph	10036	20130318	192812	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	60080	8000
BABEL_OP1_203_10036_20130318_192714_D2_scripted.sph	10036	20130318	192714	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	67200	8000
BABEL_OP1_203_10036_20130318_192727_S3_scripted.sph	10036	20130318	192727	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	78480	8000
BABEL_OP1_203_10036_20130318_192417_D1_scripted.sph	10036	20130318	192417	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	58640	8000
BABEL_OP1_203_10036_20130318_192311_O1_scripted.sph	10036	20130318	192311	10036	inLine	VIENTIANE	F	HOME_OFFICE_MOBILE	47	LAOTEL	NOKIA	35760	8000
BABEL_OP1_203_10411_20130511_175340_O3_scripted.sph	10411	20130511	175340	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_10411_20130511_175622_S5_scripted.sph	10411	20130511	175622	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	74160	8000
BABEL_OP1_203_10411_20130511_175525_S2_scripted.sph	10411	20130511	175525	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	101120	8000
BABEL_OP1_203_10411_20130511_175701_S1_scripted.sph	10411	20130511	175701	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	64880	8000
BABEL_OP1_203_10411_20130511_175721_S4_scripted.sph	10411	20130511	175721	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	78640	8000
BABEL_OP1_203_10411_20130511_175651_S3_scripted.sph	10411	20130511	175651	10411	inLine	VIENTIANE	M	CAR_KIT	50	LAOTEL	SAMSUNG	52400	8000
