outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_203_29777_20130424_232559_C6_scripted.sph	29777	20130424	232559	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_232919_S5_scripted.sph	29777	20130424	232919	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67120	8000
BABEL_OP1_203_29777_20130424_232930_T2_scripted.sph	29777	20130424	232930	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_232824_O6_scripted.sph	29777	20130424	232824	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_232520_O1_scripted.sph	29777	20130424	232520	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	39600	8000
BABEL_OP1_203_29777_20130424_233116_S7_scripted.sph	29777	20130424	233116	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	95600	8000
BABEL_OP1_203_29777_20130424_233131_S9_scripted.sph	29777	20130424	233131	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	100960	8000
BABEL_OP1_203_29777_20130424_232620_O2_scripted.sph	29777	20130424	232620	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	59040	8000
BABEL_OP1_203_29777_20130424_232530_O8_scripted.sph	29777	20130424	232530	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	38800	8000
BABEL_OP1_203_29777_20130424_232610_T1_scripted.sph	29777	20130424	232610	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_233053_S4_scripted.sph	29777	20130424	233053	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	101120	8000
BABEL_OP1_203_29777_20130424_232837_S2_scripted.sph	29777	20130424	232837	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	87280	8000
BABEL_OP1_203_29777_20130424_232940_D2_scripted.sph	29777	20130424	232940	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67200	8000
BABEL_OP1_203_29777_20130424_232545_D1_scripted.sph	29777	20130424	232545	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	101120	8000
BABEL_OP1_203_29777_20130424_233102_N1_scripted.sph	29777	20130424	233102	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	59120	8000
BABEL_OP1_203_29777_20130424_232955_S3_scripted.sph	29777	20130424	232955	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	100960	8000
BABEL_OP1_203_29777_20130424_233022_A1_scripted.sph	29777	20130424	233022	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	79600	8000
BABEL_OP1_203_29777_20130424_233009_S1_scripted.sph	29777	20130424	233009	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	101120	8000
BABEL_OP1_203_29777_20130424_232727_C4_scripted.sph	29777	20130424	232727	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	62480	8000
BABEL_OP1_203_29777_20130424_232847_O5_scripted.sph	29777	20130424	232847	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	62160	8000
BABEL_OP1_203_29777_20130424_232902_S6_scripted.sph	29777	20130424	232902	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	100960	8000
BABEL_OP1_203_29777_20130424_232909_D3_scripted.sph	29777	20130424	232909	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	38000	8000
BABEL_OP1_203_29777_20130424_233131_R1_scripted.sph	29777	20130424	233131	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	100960	8000
BABEL_OP1_203_29777_20130424_232656_C1_scripted.sph	29777	20130424	232656	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_232646_S8_scripted.sph	29777	20130424	232646	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	65840	8000
BABEL_OP1_203_29777_20130424_232706_C2_scripted.sph	29777	20130424	232706	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_29777_20130424_232814_M1_scripted.sph	29777	20130424	232814	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	45200	8000
BABEL_OP1_203_29777_20130424_232717_O3_scripted.sph	29777	20130424	232717	29777	inLine	VIENTIANE	M	CAR_KIT	31	LAOTEL	SAMSUNG	67360	8000
BABEL_OP1_203_30253_20130406_223249_R1_scripted.sph	30253	20130406	223249	30253	inLine	VIENTIANE	M	CAR_KIT	19	LAOTEL	NOKIA	74960	8000
BABEL_OP1_203_30253_20130406_222646_O2_scripted.sph	30253	20130406	222646	30253	inLine	VIENTIANE	M	CAR_KIT	19	LAOTEL	NOKIA	58880	8000
