outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP2_304_10019_20131215_001456_O1_scripted.sph	10019	20131215	001456	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	35760	8000
BABEL_OP2_304_10019_20131215_001624_C1_scripted.sph	10019	20131215	001624	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10019_20131215_001553_O2_scripted.sph	10019	20131215	001553	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	33360	8000
BABEL_OP2_304_10019_20131215_001811_D2_scripted.sph	10019	20131215	001811	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	58000	8000
BABEL_OP2_304_10019_20131215_001546_T1_scripted.sph	10019	20131215	001546	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67200	8000
BABEL_OP2_304_10019_20131215_001724_O5_scripted.sph	10019	20131215	001724	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	38480	8000
BABEL_OP2_304_10019_20131215_001832_S1_scripted.sph	10019	20131215	001832	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	70640	8000
BABEL_OP2_304_10019_20131215_001523_D1_scripted.sph	10019	20131215	001523	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	85680	8000
BABEL_OP2_304_10019_20131215_001916_S7_scripted.sph	10019	20131215	001916	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	45520	8000
BABEL_OP2_304_10019_20131215_001734_S6_scripted.sph	10019	20131215	001734	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	65040	8000
BABEL_OP2_304_10019_20131215_001716_S2_scripted.sph	10019	20131215	001716	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	53520	8000
BABEL_OP2_304_10019_20131215_001613_S8_scripted.sph	10019	20131215	001613	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	22160	8000
BABEL_OP2_304_10019_20131215_001641_O3_scripted.sph	10019	20131215	001641	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	36560	8000
BABEL_OP2_304_10019_20131215_001758_T2_scripted.sph	10019	20131215	001758	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	51120	8000
BABEL_OP2_304_10019_20131215_001926_S9_scripted.sph	10019	20131215	001926	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	53040	8000
BABEL_OP2_304_10019_20131215_001750_S5_scripted.sph	10019	20131215	001750	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	50480	8000
BABEL_OP2_304_10019_20131215_001741_D3_scripted.sph	10019	20131215	001741	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	35280	8000
BABEL_OP2_304_10019_20131215_001509_O8_scripted.sph	10019	20131215	001509	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	64880	8000
BABEL_OP2_304_10019_20131215_001842_A1_scripted.sph	10019	20131215	001842	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	48080	8000
BABEL_OP2_304_10019_20131215_001854_S4_scripted.sph	10019	20131215	001854	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	77840	8000
BABEL_OP2_304_10019_20131215_001700_M1_scripted.sph	10019	20131215	001700	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67200	8000
BABEL_OP2_304_10019_20131215_001707_O6_scripted.sph	10019	20131215	001707	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	36240	8000
BABEL_OP2_304_10019_20131215_001820_S3_scripted.sph	10019	20131215	001820	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	51760	8000
BABEL_OP2_304_10019_20131215_001445_R1_scripted.sph	10019	20131215	001445	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	126240	8000
BABEL_OP2_304_10019_20131215_001535_C6_scripted.sph	10019	20131215	001535	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10019_20131215_001650_C4_scripted.sph	10019	20131215	001650	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	57520	8000
BABEL_OP2_304_10019_20131215_001906_N1_scripted.sph	10019	20131215	001906	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10019_20131215_001634_C2_scripted.sph	10019	20131215	001634	10019	inLine	AUKSTAITIAN	F	CAR_KIT	42	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_11768_20131025_200607_A1_scripted.sph	11768	20131025	200607	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	41520	8000
BABEL_OP2_304_11768_20131025_200207_D1_scripted.sph	11768	20131025	200207	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	63600	8000
BABEL_OP2_304_11768_20131025_200617_S4_scripted.sph	11768	20131025	200617	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	57520	8000
BABEL_OP2_304_11768_20131025_200301_S8_scripted.sph	11768	20131025	200301	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	66800	8000
BABEL_OP2_304_11768_20131025_200156_O8_scripted.sph	11768	20131025	200156	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	38480	8000
BABEL_OP2_304_11768_20131025_200235_O2_scripted.sph	11768	20131025	200235	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	39280	8000
BABEL_OP2_304_11768_20131025_200407_S2_scripted.sph	11768	20131025	200407	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	65040	8000
BABEL_OP2_304_11768_20131025_200147_O1_scripted.sph	11768	20131025	200147	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	38800	8000
BABEL_OP2_304_11768_20131025_200227_T1_scripted.sph	11768	20131025	200227	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	45360	8000
BABEL_OP2_304_11768_20131025_200546_S3_scripted.sph	11768	20131025	200546	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	73200	8000
BABEL_OP2_304_11768_20131025_200357_O6_scripted.sph	11768	20131025	200357	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	42000	8000
BABEL_OP2_304_11768_20131025_200500_D3_scripted.sph	11768	20131025	200500	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	46960	8000
BABEL_OP2_304_11768_20131025_200322_C2_scripted.sph	11768	20131025	200322	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	67200	8000
BABEL_OP2_304_11768_20131025_200349_M1_scripted.sph	11768	20131025	200349	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	64080	8000
BABEL_OP2_304_11768_20131025_200339_C4_scripted.sph	11768	20131025	200339	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	67200	8000
BABEL_OP2_304_11768_20131025_200640_S7_scripted.sph	11768	20131025	200640	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	63920	8000
BABEL_OP2_304_11768_20131025_200559_S1_scripted.sph	11768	20131025	200559	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	72880	8000
BABEL_OP2_304_11768_20131025_200311_C1_scripted.sph	11768	20131025	200311	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	67360	8000
BABEL_OP2_304_11768_20131025_200511_S5_scripted.sph	11768	20131025	200511	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	73680	8000
BABEL_OP2_304_11768_20131025_200521_T2_scripted.sph	11768	20131025	200521	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	57040	8000
BABEL_OP2_304_11768_20131025_200652_S9_scripted.sph	11768	20131025	200652	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	66480	8000
BABEL_OP2_304_11768_20131025_200534_D2_scripted.sph	11768	20131025	200534	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	67360	8000
BABEL_OP2_304_11768_20131025_200329_O3_scripted.sph	11768	20131025	200329	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	37200	8000
BABEL_OP2_304_11768_20131025_200135_R1_scripted.sph	11768	20131025	200135	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	126240	8000
BABEL_OP2_304_11768_20131025_200627_N1_scripted.sph	11768	20131025	200627	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	55760	8000
BABEL_OP2_304_11768_20131025_200219_C6_scripted.sph	11768	20131025	200219	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	67360	8000
BABEL_OP2_304_11768_20131025_200416_O5_scripted.sph	11768	20131025	200416	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	47760	8000
BABEL_OP2_304_11768_20131025_200451_S6_scripted.sph	11768	20131025	200451	11768	inLine	AUKSTAITIAN	F	MICROPHONE	56	BITE	NOKIA	56720	8000
BABEL_OP2_304_13929_20131020_013755_S9_scripted.sph	13929	20131020	013755	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013221_O8_scripted.sph	13929	20131020	013221	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013608_D2_scripted.sph	13929	20131020	013608	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013339_S8_scripted.sph	13929	20131020	013339	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013504_O5_scripted.sph	13929	20131020	013504	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013431_M1_scripted.sph	13929	20131020	013431	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013400_C2_scripted.sph	13929	20131020	013400	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013442_O6_scripted.sph	13929	20131020	013442	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013153_R1_scripted.sph	13929	20131020	013153	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	126400	8000
BABEL_OP2_304_13929_20131020_013453_S2_scripted.sph	13929	20131020	013453	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	76720	8000
BABEL_OP2_304_13929_20131020_013248_C6_scripted.sph	13929	20131020	013248	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013236_D1_scripted.sph	13929	20131020	013236	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013739_S7_scripted.sph	13929	20131020	013739	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	101120	8000
BABEL_OP2_304_13929_20131020_013544_S5_scripted.sph	13929	20131020	013544	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	98800	8000
BABEL_OP2_304_13929_20131020_013349_C1_scripted.sph	13929	20131020	013349	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013639_S1_scripted.sph	13929	20131020	013639	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	101120	8000
BABEL_OP2_304_13929_20131020_013208_O1_scripted.sph	13929	20131020	013208	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013529_D3_scripted.sph	13929	20131020	013529	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67200	8000
BABEL_OP2_304_13929_20131020_013710_S4_scripted.sph	13929	20131020	013710	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013722_N1_scripted.sph	13929	20131020	013722	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013555_T2_scripted.sph	13929	20131020	013555	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013519_S6_scripted.sph	13929	20131020	013519	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013655_A1_scripted.sph	13929	20131020	013655	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
BABEL_OP2_304_13929_20131020_013309_O2_scripted.sph	13929	20131020	013309	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	58880	8000
BABEL_OP2_304_13929_20131020_013421_C4_scripted.sph	13929	20131020	013421	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67200	8000
BABEL_OP2_304_13929_20131020_013410_O3_scripted.sph	13929	20131020	013410	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013259_T1_scripted.sph	13929	20131020	013259	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	67360	8000
BABEL_OP2_304_13929_20131020_013624_S3_scripted.sph	13929	20131020	013624	13929	inLine	AUKSTAITIAN	F	PUBLIC_PLACE	22	TELE2	SAMSUNG	100960	8000
