outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP2_304_10313_20131021_233355_O3_scripted.sph	10313	20131021	233355	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	51120	8000
BABEL_OP2_304_10313_20131021_233438_O5_scripted.sph	10313	20131021	233438	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	48400	8000
BABEL_OP2_304_10313_20131021_233449_S6_scripted.sph	10313	20131021	233449	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	68880	8000
BABEL_OP2_304_10313_20131021_233457_D3_scripted.sph	10313	20131021	233457	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	44240	8000
BABEL_OP2_304_10313_20131021_233640_N1_scripted.sph	10313	20131021	233640	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	64240	8000
BABEL_OP2_304_10313_20131021_233336_C1_scripted.sph	10313	20131021	233336	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	48720	8000
BABEL_OP2_304_10313_20131021_233702_S9_scripted.sph	10313	20131021	233702	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	54640	8000
BABEL_OP2_304_10313_20131021_233227_O8_scripted.sph	10313	20131021	233227	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	48080	8000
BABEL_OP2_304_10313_20131021_233257_T1_scripted.sph	10313	20131021	233257	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	22160	8000
BABEL_OP2_304_10313_20131021_233216_O1_scripted.sph	10313	20131021	233216	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	38160	8000
BABEL_OP2_304_10313_20131021_233430_S2_scripted.sph	10313	20131021	233430	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	46800	8000
BABEL_OP2_304_10313_20131021_233536_D2_scripted.sph	10313	20131021	233536	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10313_20131021_233629_S4_scripted.sph	10313	20131021	233629	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	88400	8000
BABEL_OP2_304_10313_20131021_233414_M1_scripted.sph	10313	20131021	233414	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10313_20131021_233404_C4_scripted.sph	10313	20131021	233404	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	51600	8000
BABEL_OP2_304_10313_20131021_233523_T2_scripted.sph	10313	20131021	233523	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10313_20131021_233240_D1_scripted.sph	10313	20131021	233240	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	79920	8000
BABEL_OP2_304_10313_20131021_233607_S1_scripted.sph	10313	20131021	233607	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	100960	8000
BABEL_OP2_304_10313_20131021_233651_S7_scripted.sph	10313	20131021	233651	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	49360	8000
BABEL_OP2_304_10313_20131021_233422_O6_scripted.sph	10313	20131021	233422	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	41200	8000
BABEL_OP2_304_10313_20131021_233512_S5_scripted.sph	10313	20131021	233512	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	100960	8000
BABEL_OP2_304_10313_20131021_233252_C6_scripted.sph	10313	20131021	233252	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10313_20131021_233615_A1_scripted.sph	10313	20131021	233615	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	38800	8000
BABEL_OP2_304_10313_20131021_233551_S3_scripted.sph	10313	20131021	233551	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	101120	8000
BABEL_OP2_304_10313_20131021_233346_C2_scripted.sph	10313	20131021	233346	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	67360	8000
BABEL_OP2_304_10313_20131021_233328_S8_scripted.sph	10313	20131021	233328	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	56240	8000
BABEL_OP2_304_10313_20131021_233303_O2_scripted.sph	10313	20131021	233303	10313	inLine	AUKSTAITIAN	M	PUBLIC_PLACE	18	OMNITEL	NOKIA	22160	8000
